Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-7.90000000E+01	-5.30457734E+01	-4.66413383E+01	-5.06881526E+01	-4.81903404E+01	-4.69420543E+01	-4.66470608E+01	-4.65781337E+01	-4.65339203E+01	-4.64579531E+01	
-7.80000000E+01	-5.29222526E+01	-4.70959387E+01	-5.23671840E+01	-4.93336268E+01	-4.76046256E+01	-4.71687179E+01	-4.70063452E+01	-4.69453832E+01	-4.68602082E+01	
-7.70000000E+01	-5.19097047E+01	-4.71077974E+01	-5.27053653E+01	-4.97542449E+01	-4.77299568E+01	-4.72213943E+01	-4.70129931E+01	-4.69502299E+01	-4.68719779E+01	
-7.60000000E+01	-5.06998130E+01	-4.67876916E+01	-5.17914863E+01	-4.94623038E+01	-4.74225009E+01	-4.69152195E+01	-4.67036141E+01	-4.66496060E+01	-4.65878077E+01	
-7.50000000E+01	-4.96490853E+01	-4.63165017E+01	-5.05076286E+01	-4.88020825E+01	-4.69103630E+01	-4.64439325E+01	-4.62487119E+01	-4.62063927E+01	-4.61619378E+01	
-7.40000000E+01	-4.88544190E+01	-4.58422095E+01	-4.93732802E+01	-4.80995271E+01	-4.63855954E+01	-4.59673346E+01	-4.57886478E+01	-4.57560871E+01	-4.57245155E+01	
-7.30000000E+01	-4.83177277E+01	-4.54513747E+01	-4.85249340E+01	-4.75228341E+01	-4.59562420E+01	-4.55780358E+01	-4.54070835E+01	-4.53805528E+01	-4.53566177E+01	
-7.20000000E+01	-4.80148922E+01	-4.51838885E+01	-4.79643871E+01	-4.71319397E+01	-4.56686667E+01	-4.53180043E+01	-4.51437635E+01	-4.51193595E+01	-4.50984181E+01	
-7.10000000E+01	-4.79158770E+01	-4.50524336E+01	-4.76610506E+01	-4.69370386E+01	-4.55358599E+01	-4.52001635E+01	-4.50113394E+01	-4.49860871E+01	-4.49636784E+01	
-7.00000000E+01	-4.79881436E+01	-4.50545967E+01	-4.75796329E+01	-4.69281129E+01	-4.55538412E+01	-4.52217350E+01	-4.50084182E+01	-4.49794077E+01	-4.49525159E+01	
-6.90000000E+01	-4.81942202E+01	-4.51787352E+01	-4.76840786E+01	-4.70854785E+01	-4.57089923E+01	-4.53704006E+01	-4.51236740E+01	-4.50888191E+01	-4.50549103E+01	
-6.80000000E+01	-4.84875875E+01	-4.54057693E+01	-4.79347834E+01	-4.73814639E+01	-4.59798630E+01	-4.56259630E+01	-4.53385619E+01	-4.52964367E+01	-4.52535094E+01	
-6.70000000E+01	-4.88091456E+01	-4.57088011E+01	-4.82832848E+01	-4.77780395E+01	-4.63361531E+01	-4.59596989E+01	-4.56270727E+01	-4.55770143E+01	-4.55240514E+01	
