Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-8.50000000E+01	-1.88640427E+01	-1.91820243E+01	-1.89102419E+01	-1.89954564E+01	-1.90847226E+01	-1.91491167E+01	-1.91915043E+01	-1.91965078E+01	-1.91937648E+01	
-8.40000000E+01	-1.95277651E+01	-1.98687944E+01	-1.95756475E+01	-1.96651237E+01	-1.97605327E+01	-1.98297504E+01	-1.98812141E+01	-1.98887814E+01	-1.98888089E+01	
-8.30000000E+01	-2.04019534E+01	-2.07800246E+01	-2.04559811E+01	-2.05522497E+01	-2.06565326E+01	-2.07323223E+01	-2.07963630E+01	-2.08074690E+01	-2.08114421E+01	
-8.20000000E+01	-2.15101536E+01	-2.19453840E+01	-2.15764012E+01	-2.16830831E+01	-2.18002163E+01	-2.18852574E+01	-2.19674466E+01	-2.19837508E+01	-2.19933790E+01	
-8.10000000E+01	-2.28865177E+01	-2.34098352E+01	-2.29737353E+01	-2.30964435E+01	-2.32326917E+01	-2.33312147E+01	-2.34404131E+01	-2.34641054E+01	-2.34823383E+01	
-8.00000000E+01	-2.45791077E+01	-2.52406599E+01	-2.47004642E+01	-2.48482420E+01	-2.50137381E+01	-2.51330203E+01	-2.52845680E+01	-2.53201997E+01	-2.53514426E+01	
-7.90000000E+01	-2.66505257E+01	-2.75346593E+01	-2.68256499E+01	-2.70136531E+01	-2.72257609E+01	-2.73786718E+01	-2.76003467E+01	-2.76559837E+01	-2.77094848E+01	
-7.80000000E+01	-2.91560102E+01	-3.03974200E+01	-2.94091908E+01	-2.96613929E+01	-2.99483147E+01	-3.01574396E+01	-3.05007523E+01	-3.05910892E+01	-3.06830446E+01	
-7.70000000E+01	-3.19994111E+01	-3.36881042E+01	-3.23205140E+01	-3.26533181E+01	-3.30354898E+01	-3.33226492E+01	-3.38429510E+01	-3.39839866E+01	-3.41284894E+01	
-7.60000000E+01	-3.43607818E+01	-3.57964080E+01	-3.45336935E+01	-3.48349325E+01	-3.51759374E+01	-3.54453272E+01	-3.59224053E+01	-3.60405924E+01	-3.61448216E+01	
-7.50000000E+01	-3.45678551E+01	-3.46091700E+01	-3.43045881E+01	-3.43707467E+01	-3.44466425E+01	-3.45295453E+01	-3.46026607E+01	-3.46004879E+01	-3.45666752E+01	
-7.40000000E+01	-3.30450015E+01	-3.22978097E+01	-3.25420475E+01	-3.24588658E+01	-3.23857550E+01	-3.23644280E+01	-3.22350805E+01	-3.21803999E+01	-3.20964837E+01	
-7.30000000E+01	-3.14121487E+01	-3.04355262E+01	-3.08506384E+01	-3.07185237E+01	-3.06015996E+01	-3.05479960E+01	-3.03583301E+01	-3.02911511E+01	-3.01952056E+01	
-7.20000000E+01	-3.02008898E+01	-2.91578925E+01	-2.96277701E+01	-2.94792583E+01	-2.93502259E+01	-2.92860657E+01	-2.90773484E+01	-2.90059676E+01	-2.89068004E+01	
-7.10000000E+01	-2.94413241E+01	-2.83660982E+01	-2.88612935E+01	-2.87041816E+01	-2.85705394E+01	-2.85013654E+01	-2.82840267E+01	-2.82101087E+01	-2.81097811E+01	
-7.00000000E+01	-2.90811648E+01	-2.79725913E+01	-2.84889676E+01	-2.83240937E+01	-2.81866251E+01	-2.81132271E+01	-2.78889559E+01	-2.78127804E+01	-2.77104401E+01	
-6.90000000E+01	-2.90750535E+01	-2.79221500E+01	-2.84637883E+01	-2.82894717E+01	-2.81468735E+01	-2.80684098E+01	-2.78359325E+01	-2.77570121E+01	-2.76518091E+01	
-6.80000000E+01	-2.93966506E+01	-2.81853396E+01	-2.87592869E+01	-2.85732016E+01	-2.84233384E+01	-2.83384717E+01	-2.80954032E+01	-2.80130799E+01	-2.79035502E+01	
-6.70000000E+01	-3.00386774E+01	-2.87535748E+01	-2.93686271E+01	-2.91679934E+01	-2.90084997E+01	-2.89153841E+01	-2.86588454E+01	-2.85719360E+01	-2.84568753E+01	
-6.60000000E+01	-3.10124624E+01	-2.96380745E+01	-3.03045564E+01	-3.00863343E+01	-2.99144665E+01	-2.98107904E+01	-2.95373935E+01	-2.94436546E+01	-2.93217481E+01	
-6.50000000E+01	-3.23501001E+01	-3.08730843E+01	-3.16030560E+01	-3.13645164E+01	-3.11771131E+01	-3.10596932E+01	-3.07631089E+01	-3.06622963E+01	-3.05306707E+01	
-6.40000000E+01	-3.41084612E+01	-3.25270934E+01	-3.33336434E+01	-3.30732087E+01	-3.28666726E+01	-3.27316984E+01	-3.24055910E+01	-3.22944435E+01	-3.21500828E+01	
-6.30000000E+01	-3.63680560E+01	-3.47282629E+01	-3.56195358E+01	-3.53426193E+01	-3.51150135E+01	-3.49570408E+01	-3.45897832E+01	-3.44643379E+01	-3.43018643E+01	
-6.20000000E+01	-3.91751681E+01	-3.77287303E+01	-3.86687161E+01	-3.84152140E+01	-3.81757765E+01	-3.79903491E+01	-3.75640291E+01	-3.74175397E+01	-3.72281618E+01	
-6.10000000E+01	-4.21395147E+01	-4.20676654E+01	-4.26982699E+01	-4.27020653E+01	-4.25470751E+01	-4.23646188E+01	-4.18603228E+01	-4.16882399E+01	-4.14571755E+01	
-6.00000000E+01	-4.33635190E+01	-4.84116274E+01	-4.62643068E+01	-4.75345442E+01	-4.82028124E+01	-4.84979486E+01	-4.82340615E+01	-4.81444643E+01	-4.79472124E+01	
-5.90000000E+01	-4.18521665E+01	-4.80827512E+01	-4.45623554E+01	-4.59212981E+01	-4.68929298E+01	-4.76626986E+01	-4.82997851E+01	-4.85893918E+01	-4.88826306E+01	
-5.80000000E+01	-3.97699544E+01	-4.29484326E+01	-4.13394168E+01	-4.19994601E+01	-4.24364736E+01	-4.28001573E+01	-4.30518442E+01	-4.31649648E+01	-4.32844319E+01	
