Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-7.50000000E+01	-4.93524186E+01	-4.70558043E+01	-4.86454302E+01	-4.82053843E+01	-4.77285497E+01	-4.74232923E+01	-4.68885997E+01	-4.67476438E+01	-4.65727970E+01	
-7.40000000E+01	-4.96427284E+01	-4.72189162E+01	-4.88910496E+01	-4.84292064E+01	-4.79259135E+01	-4.76057792E+01	-4.70431767E+01	-4.68976645E+01	-4.67162860E+01	
-7.30000000E+01	-5.00301995E+01	-4.74900918E+01	-4.92487058E+01	-4.87678062E+01	-4.82356610E+01	-4.78999263E+01	-4.73038402E+01	-4.71524963E+01	-4.69629802E+01	
-7.20000000E+01	-5.04885705E+01	-4.78587233E+01	-4.97027497E+01	-4.92084402E+01	-4.86459809E+01	-4.82945750E+01	-4.76609596E+01	-4.75022495E+01	-4.73034897E+01	
-7.10000000E+01	-5.09879697E+01	-4.83176286E+01	-5.02379046E+01	-4.97398078E+01	-4.91471640E+01	-4.87816327E+01	-4.81064971E+01	-4.79398870E+01	-4.77311385E+01	
-7.00000000E+01	-5.14961013E+01	-4.88630763E+01	-5.08398063E+01	-5.03528064E+01	-4.97331112E+01	-4.93559025E+01	-4.86381448E+01	-4.84625119E+01	-4.82442080E+01	
-6.90000000E+01	-5.19815801E+01	-4.94964649E+01	-5.14954636E+01	-5.10413621E+01	-5.04013364E+01	-5.00173452E+01	-4.92579891E+01	-4.90735647E+01	-4.88459730E+01	
-6.80000000E+01	-5.24191565E+01	-5.02254233E+01	-5.21944471E+01	-5.18032405E+01	-5.11550392E+01	-5.07709826E+01	-4.99748856E+01	-4.97821855E+01	-4.95466210E+01	
-6.70000000E+01	-5.27938055E+01	-5.10641260E+01	-5.29283338E+01	-5.26397207E+01	-5.20029077E+01	-5.16286034E+01	-5.08041537E+01	-5.06038146E+01	-5.03630466E+01	
-6.60000000E+01	-5.31012287E+01	-5.20326934E+01	-5.36867216E+01	-5.35518842E+01	-5.29571773E+01	-5.26063901E+01	-5.17676473E+01	-5.15619537E+01	-5.13195080E+01	
-6.50000000E+01	-5.33432340E+01	-5.31506514E+01	-5.44482017E+01	-5.45297968E+01	-5.40255376E+01	-5.37175386E+01	-5.28880224E+01	-5.26819450E+01	-5.24426514E+01	
-6.40000000E+01	-5.35192417E+01	-5.44186145E+01	-5.51621240E+01	-5.55265719E+01	-5.51879227E+01	-5.49504543E+01	-5.41707989E+01	-5.39734900E+01	-5.37472761E+01	
-6.30000000E+01	-5.36178719E+01	-5.57607411E+01	-5.57264875E+01	-5.64121783E+01	-5.63405847E+01	-5.62077495E+01	-5.55514981E+01	-5.53792483E+01	-5.51855854E+01	
-6.20000000E+01	-5.36129780E+01	-5.68993567E+01	-5.59832290E+01	-5.69313454E+01	-5.72032746E+01	-5.71924304E+01	-5.67625534E+01	-5.66423908E+01	-5.65108818E+01	
-6.10000000E+01	-5.34680876E+01	-5.72715068E+01	-5.57789646E+01	-5.67900594E+01	-5.73302509E+01	-5.73879092E+01	-5.72178025E+01	-5.71698708E+01	-5.71141802E+01	
-6.00000000E+01	-5.31506675E+01	-5.64807502E+01	-5.50820156E+01	-5.59254648E+01	-5.65019589E+01	-5.65181767E+01	-5.64613892E+01	-5.64531210E+01	-5.64312553E+01	
-5.90000000E+01	-5.26504345E+01	-5.48770343E+01	-5.40186928E+01	-5.45881628E+01	-5.50243715E+01	-5.49452905E+01	-5.48356903E+01	-5.48183724E+01	-5.47767308E+01	
