Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-5.00000000E+01	-4.23962017E+01	-4.31475407E+01	-4.28776587E+01	-4.28915225E+01	-4.25722776E+01	-4.25529557E+01	-4.24397298E+01	
-4.90000000E+01	-4.18138702E+01	-4.27663360E+01	-4.24646521E+01	-4.24399106E+01	-4.20568264E+01	-4.20175427E+01	-4.18663728E+01	
-4.80000000E+01	-4.11764607E+01	-4.23181931E+01	-4.19863317E+01	-4.19234597E+01	-4.14861611E+01	-4.14260536E+01	-4.12380855E+01	
-4.70000000E+01	-4.05389697E+01	-4.18488772E+01	-4.14882107E+01	-4.13907540E+01	-4.09091470E+01	-4.08300130E+01	-4.06093500E+01	
-4.60000000E+01	-3.99405404E+01	-4.13939415E+01	-4.10071673E+01	-4.08798380E+01	-4.03627363E+01	-4.02670347E+01	-4.00193868E+01	
-4.50000000E+01	-3.94075961E+01	-4.09786326E+01	-4.05686001E+01	-4.04165037E+01	-3.98706612E+01	-3.97619340E+01	-3.94924818E+01	
-4.40000000E+01	-3.89533352E+01	-4.06197037E+01	-4.01901150E+01	-4.00171447E+01	-3.94476134E+01	-3.93291542E+01	-3.90435887E+01	
-4.30000000E+01	-3.85848753E+01	-4.03271151E+01	-3.98825207E+01	-3.96915246E+01	-3.91008209E+01	-3.89761428E+01	-3.86790387E+01	
-4.20000000E+01	-3.83047848E+01	-4.01065611E+01	-3.96513480E+01	-3.94448483E+01	-3.88335401E+01	-3.87055004E+01	-3.84017516E+01	
-4.10000000E+01	-3.81120758E+01	-3.99610790E+01	-3.95000856E+01	-3.92788710E+01	-3.86458311E+01	-3.85168788E+01	-3.82103900E+01	
-4.00000000E+01	-3.80040960E+01	-3.98915117E+01	-3.94293521E+01	-3.91936735E+01	-3.85366411E+01	-3.84085427E+01	-3.81026743E+01	
-3.90000000E+01	-3.79780749E+01	-3.98976088E+01	-3.94391644E+01	-3.91886546E+01	-3.85039037E+01	-3.83779648E+01	-3.80758101E+01	
-3.80000000E+01	-3.80297744E+01	-3.99786075E+01	-3.95284884E+01	-3.92623950E+01	-3.85455442E+01	-3.84223964E+01	-3.81261328E+01	
-3.70000000E+01	-3.81574767E+01	-4.01328692E+01	-3.96960857E+01	-3.94135702E+01	-3.86596130E+01	-3.85395176E+01	-3.82510153E+01	
-3.60000000E+01	-3.83581079E+01	-4.03590374E+01	-3.99408213E+01	-3.96411876E+01	-3.88447620E+01	-3.87271916E+01	-3.84477985E+01	
-3.50000000E+01	-3.86302183E+01	-4.06557377E+01	-4.02620746E+01	-3.99449828E+01	-3.90999650E+01	-3.89845147E+01	-3.87155287E+01	
-3.40000000E+01	-3.89738152E+01	-4.10220747E+01	-4.06600277E+01	-4.03250261E+01	-3.94259050E+01	-3.93113193E+01	-3.90537635E+01	
-3.30000000E+01	-3.93896185E+01	-4.14586439E+01	-4.11359414E+01	-4.07837144E+01	-3.98239451E+01	-3.97090717E+01	-3.94632114E+01	
-3.20000000E+01	-3.98805981E+01	-4.19672958E+01	-4.16933706E+01	-4.13249902E+01	-4.02977027E+01	-4.01807781E+01	-3.99470042E+01	
-3.10000000E+01	-4.04519415E+01	-4.25523718E+01	-4.23380593E+01	-4.19550634E+01	-4.08519419E+01	-4.07315189E+01	-4.05106562E+01	
-3.00000000E+01	-4.11125701E+01	-4.32214065E+01	-4.30793795E+01	-4.26838977E+01	-4.14948985E+01	-4.13686003E+01	-4.11611740E+01	
-2.90000000E+01	-4.18709269E+01	-4.39850609E+01	-4.39306696E+01	-4.35258029E+01	-4.22374135E+01	-4.21029546E+01	-4.19095482E+01	
-2.80000000E+01	-4.27452536E+01	-4.48595043E+01	-4.49113886E+01	-4.45007429E+01	-4.30936968E+01	-4.29486021E+01	-4.27704931E+01	
-2.70000000E+01	-4.37555557E+01	-4.58665369E+01	-4.60489608E+01	-4.56376034E+01	-4.40843305E+01	-4.39254626E+01	-4.37642945E+01	
-2.60000000E+01	-4.49322549E+01	-4.70379986E+01	-4.73833766E+01	-4.69794842E+01	-4.52369504E+01	-4.50600715E+01	-4.49206201E+01	
-2.50000000E+01	-4.63172328E+01	-4.84188268E+01	-4.89740093E+01	-4.85918298E+01	-4.65900596E+01	-4.63903085E+01	-4.62791484E+01	
-2.40000000E+01	-4.79785980E+01	-5.00788018E+01	-5.09164576E+01	-5.05845718E+01	-4.82012645E+01	-4.79706815E+01	-4.79004230E+01	
